,Variable,Category,Labels
0,CAIDE_APOE4_subscore,cardiovascular,CAIDE: APOE4 subscore
1,CAIDE_BMI_subscore,cardiovascular,CAIDE: BMI subscore
2,CAIDE_activity_subscore,cardiovascular,CAIDE: activity subscore
3,CAIDE_age_subscore,cardiovascular,CAIDE: age subscore
4,CAIDE_cholesterol_subscore,cardiovascular,CAIDE: cholesterol subscore
5,CAIDE_education_subscore,cardiovascular,CAIDE: education subscore
6,CAIDE_sex_subscore,cardiovascular,CAIDE: sex subscore
7,CAIDE_systolic_bp_subscore,cardiovascular,CAIDE: BP subscore
8,CAIDE_total_score,cardiovascular,CAIDE: total score
9,Diastolic_blood_pressure,cardiovascular,Diastolic BP at follow-up
10,Diastolic_blood_pressure_baseline,cardiovascular,Diastolic BP at recruitment
11,HDL_value,cardiovascular,HDL cholesterol
12,HDL_value_baseline,cardiovascular,HDL cholesterol at recruitment
13,LDL_value,cardiovascular,LDL cholesterol
14,LDL_value_baseline,cardiovascular,LDL cholesterol at recruitment
15,Pulse,cardiovascular,Pulse
16,Pulse_baseline,cardiovascular,Pulse at recruitment
17,Systolic_blood_pressure,cardiovascular,Systolic BP at follow-up
18,Systolic_blood_pressure_baseline,cardiovascular,Systolic BP at recruitment
19,Weight,cardiovascular,Weight
20,Weight_baseline,cardiovascular,Weight at recruitment
21,b12_value_baseline,cardiovascular,Blood B12 levels at recruitment
22,hba1c_value_baseline,cardiovascular,Blood HbA1c levels at recruitment
23,statins,cardiovascular,Statins intake
24,total_cholesterol_value,cardiovascular,Total cholesterol
25,total_cholesterol_value_baseline,cardiovascular,Total cholesterol at recruitment
26,treatment_diabetes,cardiovascular,Diabetes
27,treatment_hyperlipidemia,cardiovascular,Hyperlipidemia
28,treatment_hypertension,cardiovascular,Hypertension
29,tsh_value_baseline,cardiovascular,Blood TSH levels at recruitment
30,10_letters,cognitive,MoCA attention: letters
31,11_subtraction_65,cognitive,MoCA attention: subtraction 65
32,11_subtraction_72,cognitive,MoCA attention: subtraction 72
33,11_subtraction_79,cognitive,MoCA attention: subtraction 79
34,11_subtraction_86,cognitive,MoCA attention: subtraction 86
35,11_subtraction_93,cognitive,MoCA attention: subtraction 93
36,12_repeat_1,cognitive,MoCA language: repeat 1
37,12_repeat_2,cognitive,MoCA language: repeat 2
